"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"12",14.2986277035958,12.9473566648179,14.2633236281734,13.1339603231952,14.6309824714341,14.3493330133445,13.9169770948072,14.2480779653258,14.6934971974651,14.4258507183142,14.3607943687562,14.5231036415123,14.8623560035152,14.6096976542406,14.5323772574519,14.463107275473,14.777665041281,14.4736178115704
"13",14.353463319878,13.7084697088274,14.2687763976598,13.343687803534,14.5868485769916,14.3190726819078,13.9317695344282,14.3062868740991,14.721558810362,14.3737996290532,14.3022822773005,14.4859127390481,14.7949527336111,14.609062466279,14.4420901916596,14.4793934583614,14.5899059306072,14.5466536905407
"14",14.3171113336222,13.5490261542266,14.3182069428937,13.3545807650869,14.5806816215305,14.4027367134321,14.0087931898207,14.3612851808514,14.5951735658648,14.5471528452575,14.4705277830838,14.4784560658878,14.8464181991835,14.6581111436928,14.3207626890362,14.529335307091,14.7630174151724,14.7526462935515
"15",14.3157187975603,13.4697546808801,14.2371512303489,13.2539496836889,14.5907085402788,14.354651771133,13.8411011948793,14.3327904276213,14.6963958618653,14.4711316519452,14.3251361523411,14.5548898954127,14.9611022453871,14.6261620142963,14.4829045120457,14.3190029159716,14.7761983827233,14.6021881996871
"16",14.7549078973521,13.0028708669478,14.3383219617166,13.1326671232514,14.610305051078,14.3084451654388,13.7894998017525,14.3191547143868,14.5107821351513,14.473575535706,14.2518726422506,14.6891903101418,14.912243952048,14.5990235370786,14.5079880932626,14.3536373630252,14.7980683372436,14.6478021775649
"17",14.2393864627979,13.1304258634512,14.3235043645014,13.3383933178833,14.6542511792859,14.3788210944322,13.8690765493506,14.3242113361077,14.6852170029958,14.3624808434883,14.3164460578132,14.6104035957789,14.8678380151145,14.6647368098768,14.4360912811748,14.3430986944746,14.7295625000948,14.5648315824533
"18",14.1750791069267,13.4714542666524,14.2436951550669,13.0767794722356,14.5886022705198,14.3330724507091,13.6816409822802,14.2703456325631,14.6007517978581,14.4356302828213,14.1871071729239,14.4789291352041,14.8663608173916,14.6699578204137,14.4513209237003,14.3745768270491,14.7501273290209,14.5882036364669
"19",14.2907692906788,13.1382142056872,14.2353861565989,12.991216780787,14.5431206572894,14.2551776102566,13.6937184230942,14.3135370640645,14.5858305459472,14.4153497761192,14.2017191270179,14.5812057470388,14.8321651476458,14.6653272837515,14.3246217767005,14.6012860574731,14.7447110258767,14.4926325624414
"20",14.37548155243,13.5981979137498,14.0671519535177,13.4068537015114,14.6958121631335,14.3042526526222,14.0495043079658,14.3086201150628,14.6718287892424,14.2240620260526,14.3390909807425,14.6829849716581,14.7087559052327,14.6708480206176,14.3485740165427,14.3071065169858,14.7963151892496,14.6428373505959
"21",14.3271887813177,13.7300706038263,14.3003830777874,13.18883656041,14.4980255683796,14.3668581814777,13.8751861684882,14.3227166894559,14.673607195292,14.3826809084249,14.3377548311529,14.5145832099042,14.8997006551289,14.6188983866279,14.4026375497206,14.5597937265747,14.8351205582265,14.7382094803928
