"","N","Nhat","Nhatu","Nhatl"
"Nhat[205]",5.23693638,4.54863582567876,11.7296713222814,1.37889784938369e-10
"Nhat[206]",1.36308249,1.42825197610585,15.8805400521104,1.33521453183758e-14
"Nhat[207]",2.9481325,2.99924849965487,11.0742312413476,3.82038954620217e-06
"Nhat[208]",3.73505553,3.68375450716462,8.79580730459235,2.42475280307205e-06
"Nhat[209]",4.74401323,4.446906595135,10.9882611702119,6.35018344578037e-08
"Nhat[210]",3.27994426,3.26037373959598,7.13662862430022,1.03747779993505e-05
"Nhat[211]",4.80653468,4.48520029121245,10.2220671486789,2.01772086604474e-12
"Nhat[212]",3.0880545,3.01501667835445,6.77898990055094,7.21389832682706e-10
"Nhat[213]",3.2451863,3.26711035516583,30.6525027108364,1.42207851353225e-11
"Nhat[214]",1.52163663,1.5926478411292,109.00511617825,1.18764937863814e-08
"Nhat[215]",2.20356336,2.21282067351209,6.8460648357932,2.3107133278215e-09
"Nhat[216]",1.5100006,1.60276129862807,10.3453067586916,1.11614409403514e-05
"Nhat[217]",2.81734616,2.80118350391951,7.01962249465161,1.21464290607996e-08
"Nhat[218]",2.16998379,2.22801499859317,18.7983812632803,1.29120497293804e-09
"Nhat[219]",2.84242031,2.81131974877569,9.73558089269707,7.44561745443491e-10
"Nhat[220]",1.93627629,2.01629867237825,39.9847355274817,1.25104122496274e-11
"Nhat[221]",0.35193872,0.513155946180288,27.415674525934,1.1263253149868e-17
"Nhat[222]",0.37453012,0.556739304629591,46.0602030572063,6.10042873779533e-54
"Nhat[223]",0.70865029,0.929561905990307,13.795646602917,5.22597754382286e-09
"Nhat[224]",0.58030888,0.698705926325694,14.3737006287553,1.52339359300636e-07
"Nhat[225]",1.12900021,1.15421770991004,9.57455763760748,2.50784663914635e-09
"Nhat[226]",0.98374711,1.01868965997199,2.97350043326446,1.15070986532562e-13
"Nhat[227]",1.22858358,1.2295104009633,3.41554045479768,8.97711565095511e-16
"Nhat[228]",1.54108805,1.49816057000658,4.28526875691819,1.55595742812228e-11
"Nhat[229]",1.13310395,1.15102703785546,3.96952639896505,2.33047830264699e-37
"Nhat[230]",2.10384483,2.02358944113233,6.86544746381835,1.34948792929463e-06
"Nhat[231]",3.1268878,2.57776402006008,8.86483007374805,1.12449422192437e-11
"Nhat[232]",2.84289852,2.46765939362496,7.79461094675642,4.57517039984768e-31
"Nhat[233]",2.24893039,2.05863526744007,7.4428175099012,1.19752678449294e-13
"Nhat[234]",1.55355925,1.51962918387987,7.3803154340892,1.58013819759205e-13
"Nhat[235]",1.86782263,1.79805850727108,11.6882372389506,9.66988332894123e-07
"Nhat[236]",1.71197805,1.63063421884506,15.6323938338873,8.11591977720711e-11
"Nhat[237]",2.37281704,2.23413702181933,7.44263272820281,9.14841184489328e-26
"Nhat[238]",2.03639713,1.87132086748614,6.18419387184418,1.60746574316637e-13
"Nhat[239]",1.50869496,1.47728756223343,6.10275815223163,1.90900499751094e-11
"Nhat[240]",1.06569255,1.09348162854027,8.14743777876411,1.81132657310125e-08
"Nhat[241]",1.15013994,1.23934241426097,9.07521109076504,3.94877856525741e-07
"Nhat[242]",1.37369617,1.36469960904798,4.38909246293146,1.88057275680455e-12
"Nhat[243]",1.0494562,1.11661205946957,2.03982332955142,6.38419178383748e-09
"Nhat[244]",0.947745,0.979599172416275,1.90516600890534,1.15616580501338e-05
"Nhat[245]",0.33869941,0.557094166350225,0.712289030019626,4.62298036380951e-17
"Nhat[246]",1.12114216,1.13849243397607,2.39143286494883,4.97764684565202e-07
"Nhat[247]",1.3859438,1.3232753632626,3.28261549268137,8.74529065596952e-11
"Nhat[248]",1.95937198,1.82745405305593,4.45618653529358,1.77297091220927e-11
"Nhat[249]",1.15630016,1.23166286935264,69.2785924839628,7.61476495539759e-20
"Nhat[250]",0.10676902,0.589578576167366,0.22582886331692,3.64425572540727e-08
"Nhat[251]",0.71719809,0.852870899564368,1.85078053321069,4.33992870111269e-05
"Nhat[252]",2.01418576,1.82917165035502,4.53273901308511,1.09997819603809e-06
"Nhat[253]",0.92273174,1.08718084477002,25.1350268370868,5.11353471003984e-16
"Nhat[254]",2.90868898,2.51267613258232,9.89238112469219,0.0070938924299498
"Nhat[255]",1.91488936,1.83824975736654,17.2421546104397,2.2013023878554e-06
"Nhat[256]",0.78574699,0.887903726072223,3.08403868437213,1.43247630935758e-08
"Nhat[257]",1.08504206,1.10099466337141,2.39721242457805,1.67182141549886e-09
"Nhat[258]",1.507662,1.5054820304673,3.44824459899577,1.13070155666009e-15
"Nhat[259]",1.56356571,1.58487901543436,9.58804391734823,8.35238360391993e-07
"Nhat[260]",3.16069183,2.58093000275244,8.87736111780843,4.82575550372021e-06
"Nhat[261]",2.3524624,2.05260900265875,9.22784099960218,2.0241189584138e-06
"Nhat[262]",2.71799982,2.52079221289154,8.17612966320544,7.2220894727671e-09
"Nhat[263]",0.86732753,1.04132450929097,13.438927787158,7.84108934468578e-10
"Nhat[264]",1.71740279,1.75648796272978,9.2117151999789,1.04635058215684e-05
"Nhat[265]",3.26868301,2.68059790201865,6.3945596943215,1.43559493035103e-09
"Nhat[266]",4.32882348,3.53371145751654,14.218193277289,3.52525312941374e-09
"Nhat[267]",1.52233195,1.58334697467442,3.12391766689828,3.05957231976682e-12
"Nhat[268]",3.83105275,3.55686583812502,7.4141610314821,7.25624265335413e-16
"Nhat[269]",2.69512141,2.52794770299995,10.3999535772974,1.29352600949145e-12
"Nhat[270]",3.87870936,3.62703680767957,7.4889796564637,4.48077229153014e-73
"Nhat[271]",2.07672236,2.11625500707457,3.86208238797203,1.07578228138918e-08
"Nhat[272]",2.2909888,2.35394215417546,7.41224897171245,0.00199420984423289
"Nhat[273]",2.34216349,2.32850197391789,7.38730342474205,3.00617292995301e-10
"Nhat[274]",2.60201409,2.55151039662883,7.51480334051261,2.40790182209007e-08
"Nhat[275]",2.09783235,2.11512506653749,11.0901206932001,6.479287618738e-05
"Nhat[276]",2.80191279,2.68697071790154,5.28831738140821,8.83940334710928e-14
"Nhat[277]",2.68727494,2.62152038801747,5.37736722475921,3.6286057422039e-05
"Nhat[278]",3.01425829,2.88994118152613,6.02733486028696,0.000204136720108408
"Nhat[279]",2.17417506,2.17203766903157,4.2248856198189,6.48680807906816e-09
"Nhat[280]",2.04164411,2.08089978723437,4.69322127560293,0.00861177970850474
"Nhat[281]",2.78146391,2.74342794149611,9.259697883014,1.94533706547024e-09
"Nhat[282]",3.78381372,3.4837266003109,11.2717130476186,1.37766867817056e-05
"Nhat[283]",3.87726353,3.62300691258485,7.21371552867728,2.47541009316036e-35
"Nhat[284]",2.16962474,2.17617898102964,7.03223968923637,1.01395302808828e-12
"Nhat[285]",1.60083192,1.68028322293654,3.22524152031599,6.50234484633852e-06
"Nhat[286]",1.25812109,1.34471522629986,6.30632014055082,3.25779923486712e-08
"Nhat[287]",3.02205317,2.91469108238765,6.86793653438653,1.81515947710301e-19
"Nhat[288]",2.68129977,2.63963296638752,5.4509773704294,4.27177992641213e-12
"Nhat[289]",1.7388516,1.787389844408,8.3112996093047,0.000143630359651776
"Nhat[290]",3.88494872,3.51438042510852,10.5225410754172,0.0350962636452966
"Nhat[291]",1.48592197,1.57660003628251,11.8746721901407,5.46005074497759e-07
"Nhat[292]",0.78343871,0.913899284852837,21.0059342172878,3.75042923766847e-13
"Nhat[293]",0.73684144,0.929299881806262,4.68153952318693,5.24577928520214e-08
"Nhat[294]",1.64214552,1.69881176022163,10.2409736129621,7.88083549209597e-06
"Nhat[295]",1.29666579,1.39819833971582,11.0872643268064,5.2056693018937e-07
"Nhat[296]",1.42846833,1.49485067725989,4.90323892953462,4.07814527981769e-14
"Nhat[297]",3.45231892,3.23543556283081,13.7612400443739,2.46101414352398e-08
"Nhat[298]",2.28899444,2.38153330163477,5.30827665800611,1.00680562911834e-08
"Nhat[299]",2.55613239,2.60520893129244,8.4979539184066,3.67576916935201e-12
"Nhat[300]",4.62154233,4.12405556899321,10.2069562369419,4.99862734851855e-16
"Nhat[301]",1.66439433,1.89193005550355,22.137341410795,5.71341414164504e-10
"Nhat[302]",2.55349826,2.61060293753175,12.7072231365532,1.31349367749061e-05
"Nhat[303]",1.97793716,2.13061546583815,24.5495965978509,2.96674086627686e-15
"Nhat[304]",2.29315073,2.41640192884746,35.3230385561216,9.03892327877573e-09
