"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"Nhat[68]",3839.02142576736,499186.955552297,2925294.72907372,972041.919301122,2769282.49792115,NA,35581.0048461823,1.3,6058,0.0162234451930724,1.00081254859326
"Nhat[69]",5321.54381561769,359426.002192931,2429108.89058482,783104.396280979,3297799.13791708,NA,34962.7225677635,1.1,8897,-0.00250671105350657,1.00152533284498
"Nhat[70]",1840.83566891454,402189.619910022,2623400.06018945,852054.368800992,2624195.09675651,NA,26241.9509675651,1,10000,0.00119289624069705,1.00069930339656
"Nhat[71]",1928.0523369048,447922.665240649,2564528.77966982,916402.05543807,7209210.36615526,NA,74607.9895009763,1,9337,2.7989920478394e-05,1.00189015543742
"Nhat[72]",2496.6447325837,494678.150465564,2891249.23716835,1033576.47592191,9370555.33842954,NA,105209.060718986,1.1,7933,0.00178800757146972,1.00260434658391
"Nhat[73]",195.862542488818,491688.291343511,2786625.82989539,970959.851849196,4685910.6569751,NA,55101.73808693,1.2,7232,0.0179744440249006,1.00237617176036
"Nhat[74]",6233.22281207606,765195.271768169,4504369.49101702,1498698.55612381,5366390.78625399,NA,62572.4843019896,1.2,7355,0.00141870459285136,1.00265249175394
"Nhat[75]",339.981312213974,413616.297278602,5661532.3830023,1832397.72213987,10934999.7077371,NA,109349.997077371,1,10000,-0.000299302979879746,1.004424261325
"Nhat[76]",5333.72662237142,1012577.03594546,5798416.53039098,1894457.07153803,4877821.71260403,NA,57126.6890100179,1.2,7291,-0.00169843861629979,1.00315066579084
"Nhat[77]",3012.14599672843,782033.767717088,4819616.50500521,1657023.93089758,9153956.7772111,NA,94800.3350783169,1,9324,-0.00134361534600881,1.00457248846476
"Nhat[78]",961.95096093368,889081.494937635,5737231.7574253,1838324.2067269,6442002.94401329,NA,81869.348128961,1.3,6192,0.00425360878684513,1.00129975919046
"Nhat[79]",1731.1355338649,664597.786765072,3774170.92093698,1207366.08379704,2651000.43995137,NA,28027.8349379837,1.1,8946,-0.00170626154266572,1.00028338143374
"Nhat[80]",1391.90563272353,653954.583981525,4583534.23864381,1462872.86710048,6059204.01393531,NA,62461.6192532308,1,9410,-0.00520353077386812,1.00245433249008
"Nhat[81]",769.747484765294,704183.399139497,4123191.01017318,1312178.09815455,2688215.30642677,NA,27796.9879629211,1,9353,0.0180214355024436,1.00144597970132
"Nhat[82]",2320.42836905478,593465.884500497,3423517.82638666,1317052.08132374,12457180.7701426,NA,124571.807701426,1,10000,0.000753418885520594,1.00063596647526
